,time,BlkCnt,CapMrktCurUSD,DiffMean,FeeMeanUSD,FlowInExUSD,HashRate,NDF,ROI30d
470,2016-11-11,5992,883579631.929082,60581959748738.4,0.0110832384042615,2287839.55629284,4.20115891349537,0.806301561441,-12.992339128623
471,2016-11-12,6086,849407452.862977,60465042409040.2,0.0074299153496347,2866327.84353334,4.25972842590374,0.806729106969,-17.3110927525954
472,2016-11-13,6203,869429333.257894,64651085122084.9,0.0078597088837641,2590988.34153835,4.64113283245562,0.806446895097,-15.01308578976
473,2016-11-14,6067,861117022.862669,68109469050598.6,0.008747509404935,839170.831845533,4.78628405075221,0.806471874086,-16.2237313087476
474,2016-11-15,6006,880737770.388391,69609625808757.8,0.0083658621532262,1994676.83668838,4.8388702087352,0.806656617609,-14.3797229087
475,2016-11-16,6045,862208898.920751,67942982634481.8,0.0083972526965416,1450810.27004678,4.75379862985551,0.806819533972,-16.2616036936502
476,2016-11-17,5868,855301367.399176,66530412520219.0,0.0074236232876711,6086660.92414974,4.51822447079123,0.806379684209,-20.807410172827
477,2016-11-18,6289,819426436.38962,66438055411680.1,0.0075435079507538,1957021.10633016,4.83627756599998,0.806505799614,-20.6321420289867
478,2016-11-19,6150,835433586.632389,71949014865557.3,0.0068885860936393,1626740.1822951,5.12267255347497,0.806680363936,-19.5812750370719
479,2016-11-20,6179,826135767.082913,78335266346296.8,0.0074199330208721,1460547.44691623,5.6037339542098,0.806386096246,-20.6341266415717
480,2016-11-21,6073,822015214.112795,84449596012008.1,0.0078674042293696,815994.941938073,5.93822895804281,0.806783350221,-20.8097379278609
481,2016-11-22,5922,849578581.931783,81077735124447.8,0.0070053048327633,1923133.83020903,5.55697218016015,0.808414763395,-17.5897372502132
482,2016-11-23,5837,844409561.061006,75589241102578.1,0.0125221268810146,1023799.69323059,5.10701456458914,0.807531322488,-17.9122395795078
483,2016-11-24,5914,795651504.345138,68111219919406.5,0.0147331190713749,1799820.39965813,4.66454689409957,0.807044189809,-18.5868191874501
484,2016-11-25,6111,812574199.55392,65986567593840.5,0.0096950629103496,937657.811186567,4.67171013416103,0.807608247503,-18.0979313253284
485,2016-11-26,5938,804089175.656512,69017176974794.5,0.0165681028145243,969622.658748655,4.74264427069325,0.807570608066,-18.8555248841889
486,2016-11-27,5945,770072929.128675,65524158428078.0,0.0230474261883423,1267740.08694497,4.50990733784733,0.807123505096,-19.8926183277726
487,2016-11-28,6042,750245185.091206,67649540618316.9,0.0219283790683438,1154270.40031301,4.73086306347532,0.80684499005,-16.6291050608043
488,2016-11-29,5988,706151763.191957,69010302114794.4,0.0176421630470752,1848150.04861721,4.78244141542358,0.806598279854,-27.3053858197794
489,2016-11-30,6061,744367005.020162,69284299604446.7,0.0077595982482825,2296155.38150852,4.86059267203374,0.806521899197,-21.5884945794815
490,2016-12-01,6057,731591427.486624,70310041002384.1,0.0062015943027191,1116874.48420368,4.9289546842747,0.806292399995,-21.7523025630823
491,2016-12-02,6075,663909787.144082,71265485462808.7,0.0051731900564926,2508023.70403618,5.01066754680689,0.806735304852,-29.1934134499184
492,2016-12-03,6160,683440311.570195,74252936273638.6,0.0049455652151536,4833789.28648438,5.29463194800973,0.80712892438,-27.3706616966848
493,2016-12-04,5983,647354956.862113,75672242806019.6,0.0049510174633403,1419833.13615119,5.24046488151897,0.80683229285,-32.9894299243875
494,2016-12-05,6004,583390684.295094,73600849613783.0,0.0050583072806828,3161078.25071897,5.11490970400022,0.807759884441,-39.5691707238235
495,2016-12-06,6089,674046646.649741,71207341778909.7,0.0056027001559252,6770752.76839655,5.0188744182412,0.808740934163,-29.2608283148561
496,2016-12-07,6073,724441331.294613,73643047177205.7,0.0070007087149597,2909659.75859155,5.17678786797556,0.8075890532,-23.4552110366383
497,2016-12-08,6125,716806155.210804,76369350674976.9,0.165441748114673,2790159.83992905,5.4154130697941,0.806817806418,-23.8934110464394
498,2016-12-09,6050,736864312.504754,79280439330296.6,0.0064400032225639,2286401.95334949,5.55241200760631,0.808279501094,-20.3147782775845
499,2016-12-10,6075,704968846.692284,80985310483737.1,0.0058119485737315,1005220.90773861,5.69677092553643,0.807977672293,-22.7990006805878
500,2016-12-11,6098,714590419.452222,82937850219048.3,0.0077335348958708,508092.701398289,5.85682105173256,0.808409622177,-20.0227872195493
501,2016-12-12,5999,740165704.869304,80878029546952.1,0.0068705708606276,1383697.72604486,5.61524257414104,0.808274507609,-13.8267460768207
502,2016-12-13,6070,730782518.855023,82224328165902.9,0.0058304882316951,946084.195637004,5.77669094910997,0.807796235689,-16.8775474573328
503,2016-12-14,6080,716258467.572207,81678014786169.7,0.0060781983948773,988234.903808796,5.74696635166876,0.807082676431,-17.7427788224191
504,2016-12-15,6001,679356210.92167,82533566446746.2,0.0058342234276162,1411905.34179691,5.73262561708296,0.807253699314,-23.7184566683994
505,2016-12-16,6075,683515343.260958,84138040153488.5,0.0054693799230766,1804613.93018685,5.91799592260282,0.807074490757,-21.6019610372805
506,2016-12-17,6116,678483969.447267,84534055963890.0,0.0064841649789077,1288616.80644295,5.98556948911776,0.806827341946,-21.5512877625639
507,2016-12-18,6096,688359602.566979,87759902841940.8,0.0059830400191283,1058497.49968736,6.19193628390745,0.806204134023,-16.9234045734396
508,2016-12-19,6032,662702907.066633,88901803448092.4,0.0060832853415917,1653437.65082945,6.20592129954448,0.805779408077,-21.5511991876151
509,2016-12-20,6069,664309456.365686,90508375478343.6,0.00756708892463,1159171.75101277,6.35889244167503,0.805967604766,-20.4749215927559
510,2016-12-21,6070,687586541.995795,90111207881563.4,0.008504176633384,3381671.38207591,6.33071239128109,0.806945266277,-17.2752460451341
511,2016-12-22,5956,661152170.764226,88551562938904.4,0.0053394192768445,3398194.31354024,6.1064032296676,0.806675906517,-23.0359184981011
512,2016-12-23,5954,625029394.844172,82165845261670.1,0.0047908490993772,8500710.28298515,5.66264111465428,0.806568608021,-26.7939760288426
513,2016-12-24,6006,631856409.932317,76928058048258.9,0.0049523950220382,768321.188526901,5.34847331372561,0.806339045504,-21.4579615620288
514,2016-12-25,6127,628482763.816516,78749733949107.8,0.0047649392508012,940651.060585833,5.58454442521542,0.806112665431,-23.5027306202332
515,2016-12-26,6066,632114110.723533,82528379445042.4,0.0048430338667329,966092.727126888,5.79510282654311,0.805798403687,-22.2477639245358
516,2016-12-27,5998,624777742.195237,80947196169414.0,0.006145453212592,2010341.3466647,5.62053902937369,0.805723567984,-19.7528685371391
517,2016-12-28,6056,666055297.841876,79482363279121.0,0.0055482872945631,2407383.15794395,5.57168817688826,0.805666578189,-12.18746600083
518,2016-12-29,6082,725640017.824238,78498064490359.8,0.0072598722493524,4759786.33029074,5.52631754015395,0.806363004356,1.64363303935316
519,2016-12-30,6063,718588742.186719,78996386045432.4,0.0082650299574249,1692679.61786239,5.54582093837116,0.806114392729,-4.51111534892039
520,2016-12-31,5993,710745870.776285,81073024515393.7,0.0056381194113778,1344133.22901223,5.62451734278383,0.806491464094,-3.90305613342563
521,2017-01-01,6111,715511738.716057,79895312719886.8,0.0053341267799265,1291247.64318416,5.65124692604286,0.805757446186,6.60400000652776
522,2017-01-02,6058,733327565.827189,80590621394785.4,0.0059413975843858,1425827.27730154,5.65078479565909,0.80544821711,6.1372665216154
