,time,BlkCnt,DiffMean,FeeMeanUSD,FlowInExUSD,HashRate,NDF,PriceUSD,ROI30d
1430,-0.7731891,-0.11428571428571428,7.994224203910997e-08,0.00017513421760529782,2.637580935319823e-05,7.212440175742948e-08,0.419629332862,12.6569578369375,0.6323548651331475
1431,-0.7725188,-1.4476190476190476,7.994224203910997e-08,0.0001921730482178767,3.143112416528307e-05,5.495192514851791e-08,0.416665040817,13.3695895815313,0.8017206296706851
1432,-0.7718485,-1.0666666666666667,7.994224203910997e-08,0.00017513306673474512,2.7337735980515196e-05,5.985834703677843e-08,0.416319975893,13.3127502220923,0.8056948529848443
1433,-0.7711782,-0.49523809523809526,7.994224203910997e-08,0.00018786219211532583,2.673221860240834e-05,6.721797986916895e-08,0.416628555623,13.4779245403273,0.8079727279081496
1434,-0.77050793,-0.8,7.994224203910997e-08,0.0001675842066446718,3.922711789171542e-05,6.329284235856075e-08,0.41741733057,13.4772824494448,0.7747787596443143
1435,-0.7698376,-0.45714285714285713,7.994224203910997e-08,0.00017249170365417053,1.2869528627574931e-05,6.770862205799512e-08,0.416872420804,13.4999844091175,0.8053795292695181
1436,-0.7691673,-0.9142857142857143,7.994224203910997e-08,0.00016868995279735566,1.1150949373850849e-05,6.182091579208254e-08,0.416657392691,13.3465108907072,0.7871069309052083
1437,-0.768497,-0.26666666666666666,7.950651689857444e-08,0.00018985013841007968,2.126714651913655e-05,6.977941597496566e-08,0.415412127924,13.4922565809468,0.814361111967083
1438,-0.76782674,-0.22857142857142856,7.834458319047947e-08,0.00019183639154825521,2.5174734835430216e-05,6.924047385989984e-08,0.41482685358,13.615415666277,0.8612274002665007
1439,-0.7671564,-0.7619047619047619,7.834458319047947e-08,0.00017580153980768063,2.1308144993838848e-05,6.25087611235207e-08,0.417058417463,13.6682136426067,0.8042724415577422
1440,-0.7664861,-0.7238095238095238,7.834458319047947e-08,0.00023937556227399758,2.8519398182055456e-05,6.298959774754785e-08,0.413568997358,13.7552515207481,0.8438666408084167
1441,-0.7658158,-1.6761904761904762,7.834458319047947e-08,0.00018368101024965114,2.9298286258335012e-05,5.096868214687077e-08,0.413229815005,13.6009222527762,0.811208053961122
1442,-0.76514554,-1.2952380952380953,7.834458319047947e-08,0.00016976634954265783,1.6126652037260052e-05,5.577704838714154e-08,0.413376005885,13.5309482887201,0.7085161418433696
1443,-0.7644752,-1.4857142857142858,7.834458319047947e-08,0.00017099132002125603,8.95767324077176e-06,5.3372865267006296e-08,0.412743262182,13.3328610765634,0.46511030302943324
1444,-0.7638049,-0.6095238095238096,7.834458319047947e-08,0.0001778249259421545,2.9825180181572587e-05,6.443210761962907e-08,0.411805635183,13.3200719514904,0.4466175152017095
1445,-0.76313466,-0.9523809523809523,7.834458319047947e-08,0.00017354398041273536,2.583870674559604e-05,6.010457800338544e-08,0.413867750044,13.2720338690824,0.46047662202292183
1446,-0.76246434,-0.3047619047619048,7.834458319047947e-08,0.00017494576055945843,4.725876908512613e-05,6.82788006118458e-08,0.415897936061,13.5385431800117,0.5095388805516441
1447,-0.76179403,-1.6761904761904762,7.834458319047947e-08,0.00019297847634622444,2.5350734325681807e-05,5.096868214687077e-08,0.41600695558,13.5700270263004,0.5358300957900965
1448,-0.7611237,-0.9142857142857143,7.834458319047947e-08,0.0001846801584588425,2.5218441418520254e-05,6.058541462741233e-08,0.41588278087,13.4289680023378,0.4849729894780534
1449,-0.76045346,0.11428571428571428,7.834458319047947e-08,0.0001759374618553074,1.2091836924487607e-05,7.356800347614374e-08,0.415455814779,13.4272139129164,0.3066130790297529
1450,-0.75978315,-1.0666666666666667,7.834458319047947e-08,0.00018660303555371278,1.2677229308732317e-05,5.8662068131304236e-08,0.41517073986,13.3181057568673,0.2800026760451124
1451,-0.75911283,-0.6857142857142857,7.834458319047947e-08,0.00017216519372766274,1.758936303192726e-05,6.347043437157502e-08,0.415395183675,13.4266626715371,0.27027435083238593
1452,-0.7584425,-0.9904761904761905,7.834458319047947e-08,0.00018079994351865173,1.1083421951294538e-05,5.962374137935828e-08,0.414728298166,13.3655670046756,0.2196134772578413
1453,-0.75777227,0.1523809523809524,7.36872929825681e-08,0.0001746936780591279,1.0707831030301922e-05,6.964691562930774e-08,0.415998032315,13.4546990175336,0.34692518508197284
1454,-0.75710195,0.22857142857142856,6.926581493708275e-08,0.0001869387415747897,2.1669449744991024e-05,6.631810553234406e-08,0.416033522302,13.3993031811806,0.3392790349788604
